TrialOrderNum	TrialNum	trialType	Sure1	Sure2	Mag1	Mag2	vert	topRight	RtLtA	RtLtB	ISI	ITI	P1_image	P2_image	Gain
1	1	1	7	1	0	4	1	0	0	0	0.55	1.32	5	5	1
2	54	5	0	8	16	0	1	1	0	0	0.78	1.96	5	5	1
3	46	4	0	8	14	2	1	1	0	0	0.7	1.79	5	5	1
4	15	2	0	4	5	3	0	0	1	0	0.57	1.43	5	5	1
5	26	3	0	4	6	2	1	1	1	0	0.56	1.56	5	5	1
6	14	2	0	4	5	3	1	1	0	0	0.95	1.34	5	5	1
7	56	5	0	8	16	0	1	0	1	0	0.6	1.18	5	5	1
8	2	1	7	1	0	4	0	0	0	0	0.76	1.42	5	5	1
9	11	2	0	4	5	3	0	0	0	0	0.89	1.1	5	5	1
10	42	4	0	8	14	2	1	1	1	0	0.67	1.93	5	5	1
11	52	5	0	4	8	0	1	0	0	0	0.69	1.13	5	5	1
12	5	1	5	3	0	4	0	0	0	0	0.81	1.15	5	5	1
13	25	3	0	4	6	2	0	1	1	0	1	1.26	5	5	1
14	4	1	6	2	0	4	0	1	0	0	0.57	1.63	5	5	1
15	38	4	0	4	7	1	1	1	0	0	0.73	1.53	5	5	1
16	57	5	0	8	16	0	0	1	1	0	0.83	1.35	5	5	1
17	19	2	0	8	10	6	0	0	0	0	0.56	1.53	5	5	1
18	48	5	0	4	8	0	1	0	1	0	0.88	1.7	5	5	1
19	35	4	0	4	7	1	0	0	0	0	0.53	1.68	5	5	1
20	40	4	0	4	7	1	1	0	1	0	0.77	1.47	5	5	1
21	12	2	0	4	5	3	1	0	0	0	0.61	1.28	5	5	1
22	8	1	12	4	0	8	1	0	0	0	0.9	1.53	5	5	1
23	32	3	0	8	12	4	1	0	1	0	0.74	1.66	5	5	1
24	13	2	0	4	5	3	0	1	0	0	0.72	1.03	5	5	1
25	16	2	0	4	5	3	1	0	1	0	0.59	1.22	5	5	1
26	33	3	0	8	12	4	0	1	1	0	0.91	1.36	5	5	1
27	31	3	0	8	12	4	0	0	1	0	0.56	1.18	5	5	1
28	49	5	0	4	8	0	0	1	1	0	0.94	1.62	5	5	1
29	23	3	0	4	6	2	0	0	1	0	0.73	1.76	5	5	1
30	44	4	0	8	14	2	1	0	0	0	0.55	1.97	5	5	1
31	9	1	10	6	0	8	1	1	0	0	0.85	1.58	5	5	1
32	7	1	12	4	0	8	0	0	0	0	0.55	1.35	5	5	1
33	41	4	0	8	14	2	0	1	1	0	0.85	1.22	5	5	1
34	55	5	0	8	16	0	0	0	1	0	0.98	1.38	5	5	1
35	39	4	0	4	7	1	0	0	1	0	0.78	1.11	5	5	1
36	34	3	0	8	12	4	1	1	1	0	0.58	1.74	5	5	1
37	6	1	5	3	0	4	1	0	0	0	0.7	1.77	5	5	1
38	24	3	0	4	6	2	1	0	1	0	0.8	1.83	5	5	1
39	51	5	0	4	8	0	0	0	0	0	0.74	1.55	5	5	1
40	45	4	0	8	14	2	0	1	0	0	0.68	1.48	5	5	1
41	18	2	0	8	10	6	1	1	1	0	0.61	1.05	5	5	1
42	50	5	0	4	8	0	1	1	1	0	0.83	1.43	5	5	1
43	10	1	10	6	0	8	0	1	0	0	0.9	1.18	5	5	1
44	36	4	0	4	7	1	1	0	0	0	0.74	1.59	5	5	1
45	17	2	0	8	10	6	0	1	1	0	0.9	1.2	5	5	1
46	21	2	0	8	10	6	0	1	0	0	0.82	1.74	5	5	1
47	53	5	0	8	16	0	0	1	0	0	0.59	1.8	5	5	1
48	22	2	0	8	10	6	1	1	0	0	0.89	1.3	5	5	1
49	30	3	0	8	12	4	1	1	0	0	0.8	1.59	5	5	1
50	3	1	6	2	0	4	1	1	0	0	0.51	1.42	5	5	1
51	37	4	0	4	7	1	0	1	0	0	0.88	1.13	5	5	1
52	58	5	0	8	16	0	1	1	1	0	0.67	1.6	5	5	1
53	29	3	0	8	12	4	0	1	0	0	0.76	1.91	5	5	1
54	20	2	0	8	10	6	1	0	0	0	0.79	1.95	5	5	1
55	47	5	0	4	8	0	0	0	1	0	0.95	1.52	5	5	1
56	43	4	0	8	14	2	0	0	0	0	0.71	1.55	5	5	1
57	27	3	0	4	6	2	0	0	0	0	0.76	1.57	5	5	1
58	28	3	0	4	6	2	1	0	0	0	0.74	1.04	5	5	1
59	59	1	7	1	0	4	1	0	0	0	0.55	1.32	5	5	0
60	112	5	0	8	16	0	1	1	0	0	0.83	1.35	5	5	0
61	104	4	0	8	14	2	1	1	0	0	0.55	1.97	5	5	0
62	73	2	0	4	5	3	0	0	1	0	0.59	1.22	5	5	0
63	84	3	0	4	6	2	1	1	1	0	0.73	1.76	5	5	0
64	72	2	0	4	5	3	1	1	0	0	0.72	1.03	5	5	0
65	114	5	0	8	16	0	1	0	1	0	0.98	1.38	5	5	0
66	60	1	7	1	0	4	0	0	0	0	0.76	1.42	5	5	0
67	69	2	0	4	5	3	0	0	0	0	0.89	1.1	5	5	0
68	100	4	0	8	14	2	1	1	1	0	0.7	1.79	5	5	0
69	110	5	0	4	8	0	1	0	0	0	0.95	1.52	5	5	0
70	63	1	5	3	0	4	0	0	0	0	0.81	1.15	5	5	0
71	83	3	0	4	6	2	0	1	1	0	0.56	1.56	5	5	0
72	62	1	6	2	0	4	0	1	0	0	0.57	1.63	5	5	0
73	96	4	0	4	7	1	1	1	0	0	0.74	1.59	5	5	0
74	115	5	0	8	16	0	0	1	1	0	0.78	1.96	5	5	0
75	77	2	0	8	10	6	0	0	0	0	0.56	1.53	5	5	0
76	106	5	0	4	8	0	1	0	1	0	0.83	1.43	5	5	0
77	93	4	0	4	7	1	0	0	0	0	0.77	1.47	5	5	0
78	98	4	0	4	7	1	1	0	1	0	0.53	1.68	5	5	0
79	70	2	0	4	5	3	1	0	0	0	0.61	1.28	5	5	0
80	66	1	12	4	0	8	1	0	0	0	0.9	1.53	5	5	0
81	90	3	0	8	12	4	1	0	1	0	0.74	1.66	5	5	0
82	71	2	0	4	5	3	0	1	0	0	0.57	1.43	5	5	0
83	74	2	0	4	5	3	1	0	1	0	0.95	1.34	5	5	0
84	91	3	0	8	12	4	0	1	1	0	0.8	1.59	5	5	0
85	89	3	0	8	12	4	0	0	1	0	0.76	1.91	5	5	0
86	107	5	0	4	8	0	0	1	1	0	0.88	1.7	5	5	0
87	81	3	0	4	6	2	0	0	1	0	1	1.26	5	5	0
88	102	4	0	8	14	2	1	0	0	0	0.67	1.93	5	5	0
89	67	1	10	6	0	8	1	1	0	0	0.85	1.58	5	5	0
90	65	1	12	4	0	8	0	0	0	0	0.55	1.35	5	5	0
91	99	4	0	8	14	2	0	1	1	0	0.68	1.48	5	5	0
92	113	5	0	8	16	0	0	0	1	0	0.67	1.6	5	5	0
93	97	4	0	4	7	1	0	0	1	0	0.78	1.11	5	5	0
94	92	3	0	8	12	4	1	1	1	0	0.91	1.36	5	5	0
95	64	1	5	3	0	4	1	0	0	0	0.7	1.77	5	5	0
96	82	3	0	4	6	2	1	0	1	0	0.74	1.04	5	5	0
97	109	5	0	4	8	0	0	0	0	0	0.69	1.13	5	5	0
98	103	4	0	8	14	2	0	1	0	0	0.71	1.55	5	5	0
99	76	2	0	8	10	6	1	1	1	0	0.82	1.74	5	5	0
100	108	5	0	4	8	0	1	1	1	0	0.74	1.55	5	5	0
101	68	1	10	6	0	8	0	1	0	0	0.9	1.18	5	5	0
102	94	4	0	4	7	1	1	0	0	0	0.88	1.13	5	5	0
103	75	2	0	8	10	6	0	1	1	0	0.9	1.2	5	5	0
104	79	2	0	8	10	6	0	1	0	0	0.79	1.95	5	5	0
105	111	5	0	8	16	0	0	1	0	0	0.59	1.8	5	5	0
106	80	2	0	8	10	6	1	1	0	0	0.61	1.05	5	5	0
107	88	3	0	8	12	4	1	1	0	0	0.56	1.18	5	5	0
108	61	1	6	2	0	4	1	1	0	0	0.51	1.42	5	5	0
109	95	4	0	4	7	1	0	1	0	0	0.73	1.53	5	5	0
110	116	5	0	8	16	0	1	1	1	0	0.6	1.18	5	5	0
111	87	3	0	8	12	4	0	1	0	0	0.58	1.74	5	5	0
112	78	2	0	8	10	6	1	0	0	0	0.89	1.3	5	5	0
113	105	5	0	4	8	0	0	0	1	0	0.94	1.62	5	5	0
114	101	4	0	8	14	2	0	0	0	0	0.85	1.22	5	5	0
115	85	3	0	4	6	2	0	0	0	0	0.8	1.83	5	5	0
116	86	3	0	4	6	2	1	0	0	0	0.76	1.57	5	5	0
